CryoSleep,Destination,Age,VIP,Transported,GroupSize,HomePlanet,CabinDeck,CabinSide,AnyExpenses,EssencialBill,NonEssencialBill
False,TRAPPIST-1e,2,False,False,1,Europa,B,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,True,1,Earth,F,S,True,34.0,702.0
False,TRAPPIST-1e,3,True,False,2,Europa,A,S,True,3576.0,6807.0
False,TRAPPIST-1e,2,False,False,2,Europa,A,S,True,1654.0,3522.0
False,TRAPPIST-1e,1,False,True,1,Earth,F,S,True,221.0,870.0
False,PSO J318.5-22,2,False,True,1,Earth,F,P,True,483.0,291.0
False,TRAPPIST-1e,1,False,True,2,Earth,F,S,True,1542.0,42.0
True,TRAPPIST-1e,1,False,True,2,Earth,G,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,True,1,Earth,F,S,True,802.0,216.0
True,55 Cancri e,0,False,True,3,Europa,B,P,False,0.0,0.0
True,TRAPPIST-1e,2,False,True,3,Europa,B,P,False,0.0,0.0
False,55 Cancri e,2,False,True,3,Europa,B,P,True,7884.0,273.0
False,TRAPPIST-1e,2,False,True,1,Mars,F,P,True,1123.0,186.0
False,TRAPPIST-1e,3,False,False,1,Earth,G,S,True,66.0,743.0
False,TRAPPIST-1e,1,False,True,1,Earth,F,P,True,986.0,17.0
False,TRAPPIST-1e,2,False,False,1,Earth,nan,nan,True,876.0,32.0
False,55 Cancri e,1,False,False,1,Mars,F,P,True,122.0,1286.0
False,55 Cancri e,1,False,False,1,Earth,F,P,True,1.0,637.0
True,TRAPPIST-1e,2,False,True,1,Mars,F,P,False,0.0,0.0
False,TRAPPIST-1e,0,False,True,2,Earth,G,P,False,0.0,0.0
False,55 Cancri e,0,False,False,2,Earth,F,P,True,1.0,1091.0
True,TRAPPIST-1e,0,False,False,6,Earth,E,S,False,0.0,0.0
True,55 Cancri e,3,False,False,6,Earth,E,S,False,0.0,0.0
True,55 Cancri e,1,False,False,6,Earth,E,S,False,0.0,0.0
False,TRAPPIST-1e,0,False,True,6,Earth,E,S,False,0.0,0.0
True,PSO J318.5-22,0,False,False,6,Earth,E,S,False,0.0,0.0
False,TRAPPIST-1e,0,False,False,6,Earth,E,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Mars,D,P,True,71.0,980.0
True,TRAPPIST-1e,4,False,True,1,Europa,C,S,False,0.0,0.0
False,TRAPPIST-1e,0,False,False,1,Earth,F,S,True,225.0,998.0
False,55 Cancri e,2,False,False,1,Europa,C,P,True,6073.0,1788.0
False,TRAPPIST-1e,2,False,False,1,Mars,F,P,True,136.0,1173.0
False,TRAPPIST-1e,2,False,False,1,Earth,G,S,True,931.0,890.0
False,TRAPPIST-1e,3,False,True,3,Mars,F,P,True,1411.0,1443.0
False,TRAPPIST-1e,0,False,True,3,Mars,F,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,True,3,Mars,F,P,True,1750.0,990.0
True,55 Cancri e,1,False,True,1,Europa,D,S,False,0.0,0.0
False,55 Cancri e,1,False,False,1,Mars,D,P,True,964.0,1735.0
False,55 Cancri e,0,Ns/Nc,False,1,Earth,F,S,True,540.0,421.0
